ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_kg,Arrived_on_Time,Weight_Category
7966,B,Ship,5,4,223,3,medium,M,7,5.7,0,Heavy
7967,C,Ship,4,4,261,2,medium,M,8,5,1,Heavy
7968,F,Ship,4,1,248,2,low,F,6,5.6,0,Heavy
7969,D,Ship,4,5,169,4,low,F,6,4.2,0,Heavy
7970,F,Ship,3,2,188,6,medium,F,1,4.9,0,Heavy
7971,A,Ship,3,1,142,4,medium,M,7,4.8,0,Heavy
7972,B,Ship,4,1,208,2,low,M,6,5.3,0,Heavy
7973,C,Ship,4,3,239,2,medium,F,7,5.4,0,Heavy
7974,F,Ship,5,3,218,5,low,F,9,4.4,1,Heavy
7975,D,Ship,4,5,137,3,medium,M,1,4.9,0,Heavy
7976,F,Ship,4,3,97,6,low,F,4,4.4,0,Heavy
7977,A,Ship,3,4,242,10,high,M,5,4.1,0,Heavy
7978,B,Ship,4,1,153,7,medium,F,4,5.8,1,Heavy
7979,C,Ship,3,4,188,5,low,F,3,4.8,1,Heavy
7980,F,Ship,4,4,272,2,low,M,7,4,1,Heavy
7981,D,Ship,2,4,165,3,medium,M,7,5.9,0,Heavy
7982,F,Ship,4,4,218,2,medium,M,3,5,0,Heavy
7983,A,Ship,4,4,153,4,low,M,5,5.2,0,Heavy
7984,B,Ship,6,3,250,2,medium,F,1,4.7,0,Heavy
7985,C,Ship,4,2,204,8,low,F,1,4,1,Heavy
7986,F,Ship,4,3,154,10,high,M,7,5.3,0,Heavy
7987,D,Ship,4,1,233,7,medium,M,7,4.3,1,Heavy
7988,F,Ship,4,2,225,8,low,F,8,5.6,0,Heavy
7989,A,Ship,4,2,269,10,high,M,2,5.6,1,Heavy
7990,B,Ship,4,1,173,4,low,F,1,5.8,0,Heavy
7991,C,Ship,4,3,145,3,low,F,5,5.8,1,Heavy
7992,F,Ship,4,5,242,2,medium,F,2,4.8,1,Heavy
7993,D,Ship,3,2,255,7,medium,M,2,5.3,0,Heavy
7994,F,Ship,4,2,254,7,low,F,6,5.1,0,Heavy
7995,A,Ship,4,5,150,3,high,F,10,5.8,1,Heavy
7996,B,Ship,4,1,201,8,medium,M,4,4.3,0,Heavy
7997,C,Ship,5,3,262,5,low,F,8,1.5,1,Light
7998,F,Ship,6,1,306,4,low,F,4,1.4,1,Light
7999,D,Ship,6,4,276,4,low,F,2,1.1,1,Light
8000,F,Ship,3,2,183,5,low,F,2,1.2,1,Light
8001,A,Ship,5,2,239,5,low,M,1,1.5,1,Light
8002,B,Ship,7,2,285,4,low,M,2,1.5,1,Light
8003,C,Ship,5,4,229,6,low,F,9,1.7,0,Light
8004,F,Ship,7,3,308,5,medium,M,10,1.2,1,Light
8005,D,Ship,6,4,293,4,low,F,8,1.1,1,Light
8006,F,Ship,6,3,247,4,low,F,6,1.5,0,Light
8007,A,Ship,6,3,260,5,low,M,8,1.3,1,Light
8008,B,Ship,7,1,308,4,medium,M,7,1.8,1,Light
8009,C,Ship,6,2,282,4,low,M,1,1.9,1,Light
8010,F,Ship,6,4,268,4,medium,F,3,1.6,0,Light
8011,D,Ship,5,3,238,5,high,M,7,1.8,0,Light
8012,F,Ship,5,3,254,6,low,M,7,1.1,0,Light
8013,A,Ship,5,3,252,5,low,M,3,1.5,0,Light
8014,B,Ship,6,4,254,4,low,M,9,1.6,0,Light
8015,C,Ship,4,1,263,5,low,M,8,1.4,1,Light
8016,F,Ship,5,4,256,5,low,M,6,1.6,0,Light
8017,D,Ship,6,5,264,4,medium,M,8,1.8,0,Light
8018,F,Ship,4,5,237,5,low,M,2,1.4,1,Light
8019,A,Ship,4,1,226,5,medium,M,6,1.5,1,Light
8020,B,Ship,7,5,289,4,low,M,3,1.7,1,Light
8021,C,Ship,7,4,281,4,low,M,9,2,0,Medium
8022,F,Ship,5,1,258,5,low,F,4,1,0,Light
8023,D,Ship,6,2,263,4,low,F,8,1.6,0,Light
8024,F,Ship,5,3,245,5,low,F,2,1.9,0,Light
8025,A,Ship,7,3,296,4,medium,M,8,1.8,1,Light
8026,B,Ship,7,3,286,4,low,F,5,1.9,1,Light
8027,C,Ship,6,3,252,2,low,M,1,1.8,0,Light
8028,F,Ship,6,5,301,4,low,F,7,1.4,1,Light
8029,D,Ship,7,1,290,4,low,M,4,1.5,0,Light
8030,F,Ship,7,1,247,4,medium,M,6,1.3,1,Light
8031,A,Ship,5,5,238,6,low,F,3,2,1,Medium
8032,B,Ship,5,2,263,5,medium,F,10,1.1,0,Light
8033,C,Ship,5,2,263,4,low,M,3,1.7,1,Light
8034,F,Ship,5,2,248,5,low,F,3,1,1,Light
8035,D,Ship,7,2,289,5,low,M,1,1.2,0,Light
8036,F,Ship,4,4,256,5,high,M,1,1.9,1,Light
8037,A,Ship,6,2,287,4,low,F,7,1.8,1,Light
8038,B,Ship,4,2,250,5,medium,M,10,1,1,Light
8039,C,Ship,7,3,301,4,medium,M,1,2,1,Medium
8040,F,Ship,4,1,245,5,low,F,3,1.5,0,Light
8041,D,Ship,4,5,226,5,medium,M,8,1.1,0,Light
8042,F,Ship,6,2,272,5,low,M,8,1,0,Light
8043,A,Ship,3,3,307,5,low,F,3,1.6,1,Light
8044,B,Ship,6,1,138,3,low,M,6,1.6,0,Light
8045,C,Ship,5,1,248,5,low,F,8,1.8,0,Light
8046,F,Ship,5,1,307,4,low,M,8,1.5,1,Light
8047,D,Ship,6,2,256,4,low,F,6,1.5,0,Light
8048,F,Ship,6,5,301,5,low,M,8,1.4,0,Light
8049,A,Ship,7,3,245,4,medium,F,10,1.6,1,Light
8050,B,Ship,2,2,168,2,medium,F,2,1.2,1,Light
8051,C,Ship,6,1,295,4,low,M,10,1.6,0,Light
8052,F,Ship,6,4,299,4,low,M,9,1.5,0,Light
8053,D,Ship,6,4,253,4,medium,M,9,1.5,0,Light
8054,F,Ship,7,4,269,4,medium,M,5,1.1,0,Light
8055,A,Ship,5,1,267,5,medium,F,10,1.8,0,Light
8056,B,Ship,3,5,212,3,medium,M,7,4.4,1,Heavy
8057,C,Road,5,3,258,3,medium,F,1,5.7,0,Heavy
8058,F,Road,4,3,136,3,low,M,6,4.9,1,Heavy
8059,D,Road,3,1,101,2,medium,F,1,5.6,0,Heavy
8060,F,Road,5,2,191,4,low,F,3,5.6,0,Heavy
8061,A,Road,5,5,186,4,low,M,3,4.3,0,Heavy
8062,B,Road,4,4,104,5,low,F,7,5.6,0,Heavy
8063,C,Road,4,3,201,4,medium,F,3,4.8,0,Heavy
8064,F,Road,3,2,235,2,medium,F,10,4.2,0,Heavy
8065,D,Road,4,4,271,6,high,M,3,5.2,0,Heavy
8066,F,Road,2,3,133,4,low,F,5,6,1,Heavy
8067,A,Road,3,1,256,4,low,M,6,4.8,1,Heavy
8068,B,Road,3,1,225,2,low,F,2,4.4,1,Heavy
8069,C,Road,5,3,202,3,low,M,4,4.1,1,Heavy
8070,F,Road,4,4,214,3,medium,F,1,4.7,0,Heavy
8071,D,Road,6,3,217,6,medium,M,3,4.2,0,Heavy
8072,F,Road,4,1,241,2,low,M,3,5.7,0,Heavy
8073,A,Road,2,3,263,3,low,M,10,6,0,Heavy
8074,B,Road,4,2,273,2,low,F,9,4.2,0,Heavy
8075,C,Road,4,4,199,3,low,F,9,5,0,Heavy
8076,F,Road,4,1,198,4,medium,F,9,5.4,0,Heavy
8077,D,Road,2,4,101,6,low,F,6,5.1,1,Heavy
8078,F,Road,4,4,155,4,low,F,10,5.5,1,Heavy
8079,A,Flight,2,1,155,2,low,M,2,5.7,1,Heavy
8080,B,Flight,4,3,117,3,medium,F,4,4.7,0,Heavy
8081,C,Flight,3,2,262,2,low,M,5,5.7,1,Heavy
8082,F,Flight,5,4,142,3,low,F,8,5.5,1,Heavy
8083,D,Flight,4,4,115,3,medium,M,7,4.6,0,Heavy
8084,F,Flight,4,4,175,3,low,F,6,4.6,1,Heavy
8085,A,Flight,2,5,239,2,low,F,9,5.4,1,Heavy
8086,B,Flight,4,1,171,2,low,M,3,4.3,0,Heavy
8087,C,Flight,4,4,174,3,low,M,8,4.3,0,Heavy
8088,F,Flight,4,1,164,3,high,F,1,5.5,0,Heavy
8089,D,Flight,3,2,262,2,medium,M,4,5.7,0,Heavy
8090,F,Flight,3,5,262,2,medium,F,7,4.4,1,Heavy
8091,A,Flight,3,1,245,3,low,F,4,5.4,0,Heavy
8092,B,Flight,3,4,184,3,low,F,2,4.9,0,Heavy
8093,C,Flight,5,1,231,2,low,M,10,4.9,1,Heavy
8094,F,Flight,5,1,226,4,high,F,2,5.6,0,Heavy
8095,D,Flight,4,1,211,3,medium,F,2,5.9,0,Heavy
8096,F,Flight,4,2,266,5,medium,M,3,4.6,0,Heavy
8097,A,Flight,4,2,216,3,low,M,4,4.3,1,Heavy
8098,B,Flight,4,3,153,3,low,M,5,5.7,1,Heavy
8099,C,Flight,2,2,242,3,high,M,9,4.7,0,Heavy
8100,F,Flight,5,1,282,5,low,M,6,5.2,1,Heavy
8101,D,Ship,4,1,165,3,medium,F,10,4.6,0,Heavy
8102,F,Ship,3,1,146,3,medium,M,9,4.9,1,Heavy
8103,A,Ship,5,3,113,3,medium,F,5,4.7,0,Heavy
8104,B,Ship,3,2,161,3,medium,F,1,5.8,0,Heavy
8105,C,Ship,2,2,219,2,medium,M,8,4.5,0,Heavy
8106,F,Ship,4,2,237,2,low,F,1,5.3,0,Heavy
8107,D,Ship,4,3,246,3,low,M,5,4.4,0,Heavy
8108,F,Ship,3,4,229,6,medium,F,3,5.5,0,Heavy
8109,A,Ship,3,3,195,3,low,M,1,4.2,0,Heavy
8110,B,Ship,4,3,160,2,low,M,5,4.5,1,Heavy
8111,C,Ship,3,5,144,2,medium,M,6,6,0,Heavy
8112,F,Ship,3,3,217,4,medium,F,3,5.6,0,Heavy
8113,D,Ship,3,4,240,3,high,F,6,4.4,0,Heavy
8114,F,Ship,3,2,210,3,medium,M,8,4,0,Heavy
8115,A,Ship,4,2,249,3,low,F,9,5.5,1,Heavy
8116,B,Ship,4,1,178,3,high,M,3,5.5,1,Heavy
8117,C,Ship,6,4,224,4,low,F,6,4.5,0,Heavy
8118,F,Ship,3,1,142,3,medium,F,10,4.9,1,Heavy
8119,D,Ship,4,5,163,2,medium,F,10,5.5,1,Heavy
8120,F,Ship,4,1,261,4,medium,F,10,4.6,0,Heavy
8121,A,Ship,3,4,151,3,medium,M,5,4.8,1,Heavy
8122,B,Ship,4,2,197,2,medium,M,3,4.7,1,Heavy
8123,C,Ship,6,3,155,2,medium,F,1,4.2,1,Heavy
8124,F,Ship,3,5,152,4,medium,M,2,4.8,0,Heavy
8125,D,Ship,4,5,275,6,low,M,3,5,0,Heavy
8126,F,Ship,3,1,102,4,medium,F,4,5.9,1,Heavy
8127,A,Ship,4,1,285,2,low,M,4,4.4,0,Heavy
8128,B,Ship,4,5,248,2,medium,M,10,4.4,1,Heavy
8129,C,Ship,3,4,274,3,low,F,7,5,1,Heavy
8130,F,Ship,4,4,104,4,low,M,6,4.3,1,Heavy
8131,D,Ship,5,4,176,3,medium,M,10,5.5,0,Heavy
8132,F,Ship,5,4,237,3,medium,F,1,4.4,0,Heavy
8133,A,Ship,4,4,247,2,medium,M,9,5.1,0,Heavy
8134,B,Ship,5,5,212,5,low,F,6,4.5,0,Heavy
8135,C,Ship,4,5,226,2,low,M,1,4.5,0,Heavy
8136,F,Ship,6,2,213,2,medium,F,7,5.4,0,Heavy
8137,D,Ship,4,3,177,3,low,M,1,5.3,0,Heavy
8138,F,Ship,4,5,235,4,medium,M,6,4.6,1,Heavy
8139,A,Ship,3,4,263,3,medium,F,2,5.7,1,Heavy
8140,B,Ship,3,3,181,3,low,F,10,5.3,0,Heavy
8141,C,Ship,3,2,178,2,medium,F,2,4.1,0,Heavy
8142,F,Ship,3,5,243,3,medium,F,4,4.1,1,Heavy
8143,D,Ship,3,3,230,3,medium,F,2,4.7,1,Heavy
8144,F,Ship,4,3,106,2,medium,F,6,5.9,0,Heavy
8145,A,Ship,4,5,266,3,medium,F,2,4.9,0,Heavy
8146,B,Ship,5,2,284,4,low,M,1,4.2,1,Heavy
8147,C,Ship,2,5,233,3,low,M,9,4.8,1,Heavy
8148,F,Ship,3,3,200,3,high,F,2,4.8,1,Heavy
8149,D,Ship,3,2,176,2,medium,F,1,5.3,0,Heavy
8150,F,Ship,5,1,279,5,medium,M,4,4.4,1,Heavy
8151,A,Ship,3,3,164,3,high,M,9,5.1,0,Heavy
8152,B,Ship,4,3,163,3,low,F,10,5,1,Heavy
8153,C,Ship,4,5,254,3,medium,F,3,4.4,0,Heavy
8154,F,Ship,5,4,234,3,low,F,2,4.3,0,Heavy
8155,D,Ship,4,1,191,3,low,F,8,4,1,Heavy
8156,F,Ship,3,3,224,3,medium,F,5,4.2,1,Heavy
8157,A,Ship,3,1,250,2,low,F,5,4.2,0,Heavy
8158,B,Ship,4,5,101,6,medium,M,8,4.1,0,Heavy
8159,C,Ship,3,2,227,3,medium,M,6,5.1,0,Heavy
8160,F,Ship,3,1,173,2,medium,F,4,5.5,0,Heavy
8161,D,Ship,4,3,209,5,medium,M,6,4.4,0,Heavy
8162,F,Ship,3,5,241,3,low,F,4,4.1,0,Heavy
8163,A,Ship,5,5,257,3,medium,F,9,6,0,Heavy
8164,B,Ship,5,1,146,3,high,F,3,4.3,1,Heavy
8165,C,Ship,2,3,129,5,medium,M,3,5.4,1,Heavy
8166,F,Ship,3,4,285,3,low,M,9,4.8,1,Heavy
8167,D,Ship,3,1,133,3,low,F,5,5.2,1,Heavy
8168,F,Ship,4,2,185,3,low,M,1,4.8,0,Heavy
8169,A,Ship,5,5,193,4,medium,M,8,5.7,0,Heavy
8170,B,Ship,5,4,228,6,medium,M,5,5,1,Heavy
8171,C,Ship,3,3,179,2,low,M,5,5.1,0,Heavy
8172,F,Ship,4,2,224,3,low,F,9,4.9,0,Heavy
8173,D,Ship,3,2,279,6,medium,M,1,5.9,0,Heavy
8174,F,Ship,4,2,181,3,medium,M,4,5.7,0,Heavy
8175,A,Ship,5,5,198,2,medium,M,9,4.5,0,Heavy
8176,B,Ship,3,5,193,3,medium,F,4,5.8,0,Heavy
8177,C,Ship,5,4,184,3,low,F,1,4.2,1,Heavy
8178,F,Ship,5,2,139,3,low,M,9,5.9,0,Heavy
8179,D,Ship,5,3,210,3,low,M,5,4.6,1,Heavy
8180,F,Ship,4,3,225,2,low,M,2,4.5,1,Heavy
8181,A,Ship,3,1,189,2,low,F,5,4.7,0,Heavy
8182,B,Ship,4,5,164,4,low,F,4,5.7,0,Heavy
8183,C,Ship,3,5,196,3,low,M,1,5.3,1,Heavy
8184,F,Ship,5,3,246,2,medium,F,1,4.5,0,Heavy
8185,D,Ship,4,4,188,4,low,F,10,4.6,1,Heavy
8186,F,Ship,3,3,250,2,medium,F,4,4.4,0,Heavy
8187,A,Ship,4,2,156,4,medium,F,2,5.8,1,Heavy
8188,B,Ship,3,1,218,4,low,M,6,5.5,1,Heavy
8189,C,Ship,5,5,172,2,low,M,5,5.8,0,Heavy
8190,F,Ship,3,1,259,2,low,F,3,4.4,0,Heavy
8191,D,Ship,3,3,231,3,medium,F,9,4.6,1,Heavy
8192,F,Ship,5,2,224,3,high,M,4,4.3,0,Heavy
8193,A,Ship,4,5,201,3,low,M,7,4,0,Heavy
8194,B,Road,4,2,189,2,medium,M,5,4.4,0,Heavy
8195,C,Road,5,4,265,3,medium,M,10,4.6,0,Heavy
8196,F,Road,3,5,147,3,medium,M,5,5.4,1,Heavy
8197,D,Road,4,4,195,3,low,F,6,5.8,0,Heavy
8198,F,Road,4,5,216,3,medium,F,7,5.9,0,Heavy
8199,A,Road,4,2,148,2,low,M,5,4,0,Heavy
8200,B,Road,5,4,180,4,medium,F,7,4.2,1,Heavy
8201,C,Road,3,3,169,3,low,F,7,6,0,Heavy
8202,F,Road,3,4,200,3,low,F,7,5.4,0,Heavy
8203,D,Road,3,3,255,2,low,F,10,5.6,0,Heavy
8204,F,Road,4,3,238,2,low,F,1,4.1,0,Heavy
8205,A,Road,3,4,163,3,medium,M,5,5.1,1,Heavy
8206,B,Road,4,5,177,3,medium,M,7,4,1,Heavy
8207,C,Road,4,5,206,3,medium,M,5,5.8,1,Heavy
8208,F,Road,3,4,175,3,low,F,2,5.3,0,Heavy
8209,D,Road,5,5,247,2,medium,M,5,4.3,0,Heavy
8210,F,Road,4,3,152,4,medium,F,4,5.8,0,Heavy
8211,A,Road,4,4,162,3,low,F,8,5.4,0,Heavy
8212,B,Road,3,4,206,3,medium,F,5,5.9,0,Heavy
8213,C,Road,3,4,186,4,low,F,6,5.5,0,Heavy
8214,F,Road,4,5,179,3,low,F,4,4.5,0,Heavy
8215,D,Road,3,5,172,3,medium,F,7,4.9,0,Heavy
8216,F,Flight,3,3,158,2,medium,M,7,4.9,0,Heavy
8217,A,Flight,6,5,143,5,high,M,9,4.1,0,Heavy
8218,B,Flight,5,3,171,3,medium,F,7,5,0,Heavy
8219,C,Flight,4,2,175,3,high,M,4,4.4,0,Heavy
8220,F,Flight,4,5,173,3,medium,F,8,4,1,Heavy
8221,D,Flight,4,4,268,3,medium,M,10,4.5,0,Heavy
8222,F,Flight,4,5,232,3,low,F,8,5.9,0,Heavy
8223,A,Flight,4,2,203,4,medium,F,9,4.2,0,Heavy
8224,B,Flight,3,4,140,3,low,M,3,5.3,0,Heavy
8225,C,Flight,3,4,138,3,medium,F,10,4.3,1,Heavy
8226,F,Flight,5,1,262,3,medium,M,9,5.1,0,Heavy
8227,D,Flight,4,1,245,3,low,F,9,4,1,Heavy
8228,F,Flight,3,4,224,3,low,F,10,4.8,1,Heavy
8229,A,Flight,3,4,186,2,low,F,4,4.6,0,Heavy
8230,B,Flight,4,2,282,4,medium,M,5,5.4,1,Heavy
8231,C,Flight,5,1,266,3,low,M,8,4.8,1,Heavy
8232,F,Flight,4,2,256,4,low,F,7,5.6,0,Heavy
8233,D,Flight,3,3,155,3,medium,F,7,5.5,0,Heavy
8234,F,Flight,2,4,142,3,high,M,2,5.7,0,Heavy
8235,A,Flight,6,3,229,8,medium,M,6,4.6,0,Heavy
8236,B,Flight,4,3,211,8,medium,F,6,5.6,0,Heavy
8237,C,Flight,5,1,264,6,high,F,4,5.3,0,Heavy
8238,F,Ship,6,1,217,4,medium,M,3,5.6,0,Heavy
8239,D,Ship,5,3,145,3,low,M,3,4.1,1,Heavy
8240,F,Ship,3,2,185,4,low,M,6,5.9,0,Heavy
8241,A,Ship,4,4,221,10,high,M,6,5.6,1,Heavy
8242,B,Ship,4,5,208,3,low,F,8,4.6,0,Heavy
8243,C,Ship,4,5,260,2,medium,M,2,5.4,0,Heavy
8244,F,Ship,4,4,177,7,low,F,3,5.6,1,Heavy
8245,D,Ship,4,1,144,4,low,F,10,4.2,0,Heavy
8246,F,Ship,3,5,174,2,low,F,4,5.7,0,Heavy
8247,A,Ship,3,2,215,4,high,M,1,4.2,0,Heavy
8248,B,Ship,4,5,270,10,medium,M,9,5.1,1,Heavy
8249,C,Ship,3,4,209,2,high,M,10,4.5,0,Heavy
8250,F,Ship,5,1,103,5,low,F,10,5.4,1,Heavy
8251,D,Ship,5,1,184,3,low,F,10,4.7,1,Heavy
8252,F,Ship,5,3,226,2,high,F,6,5,0,Heavy
8253,A,Ship,5,2,158,3,low,M,4,4.3,0,Heavy
8254,B,Ship,3,2,274,2,high,M,2,5,0,Heavy
8255,C,Ship,3,4,245,3,medium,F,7,5.4,0,Heavy
8256,F,Ship,5,3,254,6,low,M,8,1.9,0,Light
8257,D,Ship,5,3,252,5,low,M,2,1.3,1,Light
8258,F,Ship,6,4,254,4,low,M,2,1.2,0,Light
8259,A,Ship,4,3,263,5,low,F,10,1.8,0,Light
8260,B,Ship,5,1,256,5,low,F,5,2,0,Medium
8261,C,Ship,6,5,264,4,medium,F,9,1.9,1,Light
8262,F,Ship,4,2,237,5,low,M,6,1.7,1,Light
8263,D,Ship,4,1,226,5,medium,F,2,1.9,0,Light
8264,F,Ship,7,1,289,4,low,F,4,1.5,1,Light
8265,A,Ship,7,1,281,4,low,F,9,1.2,0,Light
8266,B,Ship,5,5,258,5,low,M,6,1.1,1,Light
8267,C,Ship,6,4,263,4,low,M,3,1.3,0,Light
8268,F,Ship,5,3,245,5,low,F,1,1.6,0,Light
8269,D,Ship,7,3,296,4,medium,F,7,1.4,0,Light
8270,F,Ship,7,4,286,4,low,M,3,1.3,1,Light
8271,A,Ship,6,3,252,2,low,M,6,1.5,1,Light
8272,B,Ship,6,5,301,4,low,F,4,1.7,1,Light
8273,C,Ship,7,4,290,4,low,F,10,1.9,1,Light
8274,F,Ship,7,2,247,4,medium,F,9,1.1,1,Light
8275,D,Ship,3,1,138,3,medium,F,2,4.8,1,Heavy
8276,F,Ship,5,4,262,3,medium,F,6,4.4,0,Heavy
8277,A,Ship,4,2,245,3,low,F,5,5.2,0,Heavy
8278,B,Ship,3,1,224,3,low,F,1,4.9,1,Heavy
8279,C,Ship,3,1,186,2,low,F,1,5.1,1,Heavy
8280,F,Ship,4,1,282,4,medium,M,10,5.1,0,Heavy
8281,D,Ship,5,4,266,3,low,M,2,5.3,1,Heavy
8282,F,Ship,4,5,256,4,low,F,8,5.2,1,Heavy
8283,A,Ship,3,1,155,3,medium,F,7,5.7,0,Heavy
8284,B,Ship,2,5,142,3,high,M,10,5.2,0,Heavy
8285,C,Ship,6,5,229,8,medium,F,2,4.3,1,Heavy
8286,F,Ship,4,3,211,8,medium,F,3,4.6,0,Heavy
8287,D,Ship,5,5,264,6,high,M,8,4.6,1,Heavy
8288,F,Ship,6,4,217,4,medium,F,4,4.2,1,Heavy
8289,A,Ship,5,4,145,3,low,M,2,4.5,1,Heavy
8290,B,Ship,3,5,185,4,low,M,9,5.7,0,Heavy
8291,C,Ship,4,5,221,10,high,M,9,4.6,0,Heavy
8292,F,Ship,4,2,208,3,low,M,8,4.3,0,Heavy
8293,D,Ship,4,4,260,2,medium,M,6,4.5,0,Heavy
8294,F,Ship,4,5,177,7,low,F,2,4.3,0,Heavy
8295,A,Ship,4,1,144,4,low,M,8,5,0,Heavy
8296,B,Ship,3,3,174,2,low,F,1,5.6,0,Heavy
8297,C,Ship,3,2,215,4,high,M,2,4.7,1,Heavy
8298,F,Ship,4,1,270,10,medium,F,5,5.5,1,Heavy
8299,D,Ship,3,4,209,2,high,F,5,4.4,0,Heavy
8300,F,Ship,5,1,103,5,low,M,3,5,0,Heavy
8301,A,Ship,5,2,184,3,low,F,4,4.6,0,Heavy
8302,B,Ship,5,3,226,2,high,F,2,4.2,0,Heavy
8303,C,Ship,5,4,158,3,low,F,10,4.7,1,Heavy
8304,F,Ship,3,1,274,2,high,M,2,4.4,0,Heavy
8305,D,Ship,3,2,245,3,medium,F,7,4.1,0,Heavy
8306,F,Ship,5,4,254,6,low,M,4,1.9,1,Light
8307,A,Ship,5,4,252,5,low,M,9,1.1,1,Light
8308,B,Ship,6,2,254,4,low,F,9,1.6,0,Light
8309,C,Ship,4,1,263,5,low,M,3,1.8,0,Light
8310,F,Ship,5,5,256,5,low,F,10,1.3,1,Light
8311,D,Ship,6,3,264,4,medium,M,5,1.4,0,Light
8312,F,Ship,4,1,237,5,low,F,5,1,0,Light
8313,A,Ship,4,1,226,5,medium,M,6,1.7,0,Light
8314,B,Ship,7,4,289,4,low,M,1,1.7,0,Light
8315,C,Ship,7,2,281,4,low,F,6,1.1,1,Light
8316,F,Ship,5,5,258,5,low,F,10,1.7,1,Light
8317,D,Ship,6,5,263,4,low,M,10,1.7,0,Light
8318,F,Ship,5,3,245,5,low,F,10,1.1,0,Light
8319,A,Ship,7,3,296,4,medium,F,2,1.3,1,Light
8320,B,Ship,7,3,286,4,low,M,2,1.7,1,Light
8321,C,Ship,6,5,299,4,low,F,1,1.6,1,Light
8322,F,Ship,6,4,253,4,medium,M,10,1.2,0,Light
8323,D,Ship,7,5,269,4,medium,F,9,1.8,0,Light
8324,F,Ship,5,1,267,5,medium,F,3,1.2,1,Light
8325,A,Ship,5,4,226,5,medium,F,4,1.5,0,Light
8326,B,Ship,6,4,278,4,low,M,3,1.1,1,Light
8327,C,Ship,4,4,232,5,medium,M,2,1.4,0,Light
8328,F,Ship,6,4,287,4,low,F,5,2,1,Medium
8329,D,Ship,4,2,228,5,low,M,6,1.7,0,Light
8330,F,Ship,5,1,232,5,low,M,4,1.8,0,Light
8331,A,Road,6,5,308,4,low,M,8,1.6,1,Light
8332,B,Road,7,5,287,4,low,F,8,1.7,0,Light
8333,C,Road,6,3,246,4,medium,F,8,1.7,0,Light
8334,F,Road,4,1,262,6,low,M,1,1.6,1,Light
8335,D,Road,6,4,275,4,low,M,10,1,0,Light
8336,F,Road,5,4,236,5,medium,F,2,1.7,1,Light
8337,A,Road,5,2,221,6,medium,M,2,1.8,1,Light
8338,B,Road,5,4,271,5,low,M,4,1.3,0,Light
8339,C,Road,4,4,229,5,low,M,9,1.4,0,Light
8340,F,Road,5,1,291,4,low,F,3,1.7,1,Light
8341,D,Road,5,5,261,6,medium,F,1,1.1,0,Light
8342,F,Road,6,4,285,4,medium,F,10,1.4,0,Light
8343,A,Road,6,4,262,5,low,M,9,1.4,0,Light
8344,B,Road,4,5,219,5,low,M,2,1.3,0,Light
8345,C,Road,6,1,302,4,low,F,1,1.6,1,Light
8346,F,Road,4,4,269,5,medium,F,2,1.5,0,Light
8347,D,Road,5,4,260,5,low,M,10,1.7,1,Light
8348,F,Road,7,2,297,4,low,F,7,1.4,1,Light
8349,A,Road,6,1,278,4,medium,M,6,1.6,0,Light
8350,B,Road,5,3,265,5,low,F,3,1,1,Light
8351,C,Road,6,2,286,4,low,F,5,1.2,1,Light
8352,F,Road,6,2,248,4,low,F,10,1.6,1,Light
8353,D,Flight,6,5,302,4,low,F,7,1.6,0,Light
8354,F,Flight,6,1,272,4,low,F,2,1,0,Light
8355,A,Flight,6,4,279,4,low,F,10,1.5,1,Light
8356,B,Flight,4,2,255,5,medium,M,2,1.3,0,Light
8357,C,Flight,5,4,245,5,medium,F,4,1.8,1,Light
8358,F,Flight,4,5,247,5,medium,M,6,1.7,0,Light
8359,D,Flight,6,4,275,4,medium,F,5,2,0,Medium
8360,F,Flight,6,3,255,4,medium,F,8,1.8,0,Light
8361,A,Flight,6,2,243,4,high,M,2,1.7,1,Light
8362,B,Flight,4,1,234,6,low,M,7,1.7,0,Light
8363,C,Flight,5,2,276,6,medium,F,6,1,0,Light
8364,F,Flight,5,1,228,5,low,F,7,1.8,0,Light
8365,D,Flight,5,5,232,6,low,M,2,1.6,1,Light
8366,F,Flight,5,1,248,4,low,F,6,1.9,1,Light
8367,A,Flight,5,4,136,4,low,M,9,5.5,0,Heavy
8368,B,Flight,4,3,240,3,low,F,8,4.4,0,Heavy
8369,C,Flight,4,4,147,3,medium,M,9,4.5,1,Heavy
8370,F,Flight,4,1,222,2,low,F,10,4.7,1,Heavy
8371,D,Flight,3,3,163,3,medium,M,5,5.4,0,Heavy
8372,F,Flight,5,4,254,3,low,F,4,5.6,1,Heavy
8373,A,Flight,4,2,246,3,medium,M,1,5.1,0,Heavy
8374,B,Flight,2,1,168,4,low,M,6,4.8,0,Heavy
8375,C,Ship,4,1,145,3,medium,M,8,4.9,0,Heavy
8376,F,Ship,5,2,224,2,medium,M,8,4,1,Heavy
8377,D,Ship,4,5,248,4,low,F,2,4.4,0,Heavy
8378,F,Ship,3,3,212,2,low,M,2,5.1,0,Heavy
8379,A,Ship,5,5,268,3,low,F,8,5.5,0,Heavy
8380,B,Ship,4,1,200,3,medium,F,5,4.1,1,Heavy
8381,C,Ship,5,2,246,3,low,F,9,5.8,0,Heavy
